"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.FieldBenchmark.handle","avgt",1,20,3.945559,0.031720,"ns/op"
"benchmark.FieldBenchmark.handleExact","avgt",1,20,3.406104,0.061454,"ns/op"
"benchmark.FieldBenchmark.handleExactInline","avgt",1,20,0.473290,0.001128,"ns/op"
"benchmark.FieldBenchmark.handleExactPrimitive","avgt",1,20,3.171991,0.007181,"ns/op"
"benchmark.FieldBenchmark.handleExactPrimitiveInline","avgt",1,20,0.473256,0.001094,"ns/op"
"benchmark.FieldBenchmark.handleInline","avgt",1,20,3.293705,0.024809,"ns/op"
"benchmark.FieldBenchmark.handlePrimitive","avgt",1,20,3.186819,0.038690,"ns/op"
"benchmark.FieldBenchmark.handlePrimitiveInline","avgt",1,20,0.472698,0.001628,"ns/op"
"benchmark.FieldBenchmark.handleUnreflected","avgt",1,20,3.934686,0.050989,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedExact","avgt",1,20,3.428562,0.015848,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedExactInline","avgt",1,20,0.472961,0.002329,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedExactPrimitive","avgt",1,20,3.158555,0.022689,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedExactPrimitiveInline","avgt",1,20,0.483200,0.017887,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedInline","avgt",1,20,3.360657,0.123979,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedPrimitive","avgt",1,20,3.162806,0.041726,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedPrimitiveInline","avgt",1,20,0.477751,0.017705,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedPrivate","avgt",1,20,3.449147,0.032905,"ns/op"
"benchmark.FieldBenchmark.handleUnreflectedPrivateInline","avgt",1,20,0.470138,0.004291,"ns/op"
"benchmark.FieldBenchmark.normal","avgt",1,20,0.474056,0.005763,"ns/op"
"benchmark.FieldBenchmark.primitive","avgt",1,20,0.469753,0.004633,"ns/op"
"benchmark.FieldBenchmark.privateNormal","avgt",1,20,0.473318,0.001300,"ns/op"
"benchmark.FieldBenchmark.reflection","avgt",1,20,3.126478,0.011676,"ns/op"
"benchmark.FieldBenchmark.reflectionAccessible","avgt",1,20,2.627698,0.020190,"ns/op"
"benchmark.FieldBenchmark.reflectionAccessiblePrimitive","avgt",1,20,2.649127,0.019109,"ns/op"
"benchmark.FieldBenchmark.reflectionAccessiblePrivate","avgt",1,20,2.571686,0.008399,"ns/op"
"benchmark.FieldBenchmark.reflectionAccessibleSpecializedPrimitive","avgt",1,20,2.661147,0.020504,"ns/op"
"benchmark.FieldBenchmark.reflectionPrimitive","avgt",1,20,3.109337,0.023230,"ns/op"
"benchmark.FieldBenchmark.reflectionSpecializedPrimitive","avgt",1,20,3.122131,0.019045,"ns/op"
