"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.field.pub.FieldPrimitiveBenchmark.handle","avgt",1,20,3.179888,0.013689,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.handleExact","avgt",1,20,3.182566,0.020780,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.handleExactInline","avgt",1,20,0.473539,0.001826,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.handleInline","avgt",1,20,0.475766,0.007533,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.handleUnreflected","avgt",1,20,3.179367,0.013598,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.handleUnreflectedExact","avgt",1,20,3.178759,0.012666,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.handleUnreflectedExactInline","avgt",1,20,0.475149,0.003646,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.handleUnreflectedInline","avgt",1,20,0.477470,0.008747,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.normal","avgt",1,20,0.474645,0.003512,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.reflection","avgt",1,20,3.150829,0.024437,"ns/op"
"benchmark.field.pub.FieldPrimitiveBenchmark.reflectionAccessible","avgt",1,20,2.669630,0.016103,"ns/op"
