"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.InvocationBenchmark.handle","avgt",1,20,25.586757,0.445554,"ns/op"
"benchmark.InvocationBenchmark.handleExact","avgt",1,20,25.230872,0.270533,"ns/op"
"benchmark.InvocationBenchmark.handleExactInline","avgt",1,20,23.521924,0.481006,"ns/op"
"benchmark.InvocationBenchmark.handleInline","avgt",1,20,25.519570,0.168129,"ns/op"
"benchmark.InvocationBenchmark.handlePrimitive","avgt",1,20,3.649884,0.018427,"ns/op"
"benchmark.InvocationBenchmark.handlePrimitiveBoxed","avgt",1,20,6.561927,0.048204,"ns/op"
"benchmark.InvocationBenchmark.handlePrimitiveBoxedInline","avgt",1,20,5.979008,0.059710,"ns/op"
"benchmark.InvocationBenchmark.handlePrimitiveExact","avgt",1,20,3.630179,0.024884,"ns/op"
"benchmark.InvocationBenchmark.handlePrimitiveExactInline","avgt",1,20,0.820708,0.006019,"ns/op"
"benchmark.InvocationBenchmark.handlePrimitiveInline","avgt",1,20,0.824150,0.006080,"ns/op"
"benchmark.InvocationBenchmark.handleUnreflectedExact","avgt",1,20,25.321786,0.506195,"ns/op"
"benchmark.InvocationBenchmark.handleUnreflectedExactInline","avgt",1,20,23.421759,0.151529,"ns/op"
"benchmark.InvocationBenchmark.handleUnreflectedExactPrivate","avgt",1,20,25.553027,0.138290,"ns/op"
"benchmark.InvocationBenchmark.handleUnreflectedExactPrivateInline","avgt",1,20,23.647554,0.341407,"ns/op"
"benchmark.InvocationBenchmark.handleUnreflectedPrimitiveExact","avgt",1,20,3.921331,0.029267,"ns/op"
"benchmark.InvocationBenchmark.handleUnreflectedPrimitiveExactInline","avgt",1,20,0.849079,0.036086,"ns/op"
"benchmark.InvocationBenchmark.normal","avgt",1,20,24.397595,1.584382,"ns/op"
"benchmark.InvocationBenchmark.primitive","avgt",1,20,0.845792,0.031131,"ns/op"
"benchmark.InvocationBenchmark.privateNormal","avgt",1,20,24.546315,0.958751,"ns/op"
"benchmark.InvocationBenchmark.reflection","avgt",1,20,28.664454,2.638618,"ns/op"
"benchmark.InvocationBenchmark.reflectionAccessible","avgt",1,20,27.789578,2.116898,"ns/op"
"benchmark.InvocationBenchmark.reflectionAccessiblePrimitive","avgt",1,20,14.333543,0.323793,"ns/op"
"benchmark.InvocationBenchmark.reflectionAccessiblePrivate","avgt",1,20,28.452500,3.633472,"ns/op"
"benchmark.InvocationBenchmark.reflectionPrimitive","avgt",1,20,14.259107,0.173491,"ns/op"
