"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handle","avgt",1,20,3.665863,0.058678,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handleExact","avgt",1,20,3.695723,0.162498,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handleExactInline","avgt",1,20,0.831696,0.013239,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handleInline","avgt",1,20,0.829565,0.004490,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handleUnreflected","avgt",1,20,3.663282,0.033881,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handleUnreflectedExact","avgt",1,20,3.670521,0.029834,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handleUnreflectedExactInline","avgt",1,20,0.831431,0.007861,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.handleUnreflectedInline","avgt",1,20,0.829335,0.004323,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.lambda","avgt",1,20,1.369259,0.013581,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.lambdaUnreflected","avgt",1,20,1.381404,0.066952,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.normal","avgt",1,20,0.827404,0.001890,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.reflection","avgt",1,20,14.333947,0.160755,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveBenchmark.reflectionAccessible","avgt",1,20,14.250525,0.079819,"ns/op"
