"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handle","avgt",1,20,3.834244,0.163472,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handleExact","avgt",1,20,3.654101,0.049898,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handleExactInline","avgt",1,20,0.826263,0.002782,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handleInline","avgt",1,20,0.828721,0.002977,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handleUnreflected","avgt",1,20,3.641163,0.018361,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handleUnreflectedExact","avgt",1,20,3.643746,0.014263,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handleUnreflectedExactInline","avgt",1,20,0.827389,0.004050,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.handleUnreflectedInline","avgt",1,20,0.827291,0.003583,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.lambda","avgt",1,20,1.359710,0.004734,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.lambdaUnreflected","avgt",1,20,1.361360,0.009424,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.normal","avgt",1,20,0.828786,0.005819,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.reflection","avgt",1,20,13.509369,0.088104,"ns/op"
"benchmark.invocation.pub.InvocationPrimitiveStaticBenchmark.reflectionAccessible","avgt",1,20,13.539634,0.118293,"ns/op"
