"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.invocation.pub.InvocationStaticBenchmark.handle","avgt",1,20,26.170124,0.784124,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.handleExact","avgt",1,20,25.720527,0.484923,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.handleExactInline","avgt",1,20,23.489985,0.216673,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.handleInline","avgt",1,20,25.658762,0.198350,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.handleUnreflected","avgt",1,20,25.821232,0.337166,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.handleUnreflectedExact","avgt",1,20,25.777480,0.609145,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.handleUnreflectedExactInline","avgt",1,20,27.759617,7.943126,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.handleUnreflectedInline","avgt",1,20,25.696189,0.210621,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.lambda","avgt",1,20,24.571414,0.321380,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.lambdaUnreflected","avgt",1,20,24.979729,0.292440,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.normal","avgt",1,20,23.599886,0.198692,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.reflection","avgt",1,20,28.915743,4.055136,"ns/op"
"benchmark.invocation.pub.InvocationStaticBenchmark.reflectionAccessible","avgt",1,20,28.291692,2.508538,"ns/op"
